,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,license,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-03-30 09:53:43.000000,2022-03-27 17:33:27,4162.0,1451.0,5447.0,15301.0,25929.0,2021-01-30 02:36:56,7.18.1,318563.0,17952032.0,70.0,264861.0,264861.0,880.0,https://pypi.org/project/ipython,17801194.0,https://anaconda.org/conda-forge/ipython,2022-03-27 20:57:10.655,10489974.0,1.0,,,,,,,,,,,,,,,,,
2,JupyterLab,True,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,34,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000,2022-03-31 14:06:38.000000,2022-03-31 13:08:54,2209.0,2019.0,4501.0,11932.0,24222.0,2022-03-14 14:54:16,3.3.2,48491.0,2294136.0,256.0,5666.0,5666.0,473.0,https://pypi.org/project/jupyterlab,2217511.0,https://anaconda.org/conda-forge/jupyterlab,2022-03-14 17:39:05.766,5232356.0,1.0,,,,,,,,,,,,,,,,,
3,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,32,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-03-31 11:28:58.000000,2022-03-31 06:06:11,3803.0,668.0,6182.0,16124.0,,,,,5121021.0,44.0,49087.0,49087.0,600.0,https://pypi.org/project/bokeh,5005642.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6807367.0,1.0,BSD-3-Clause,,,,,,,,,,,,,,,,
4,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/pandas-profiling,,widgets,32,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,2016-01-09 23:47:55.000,2022-03-31 00:35:55.000000,2022-03-01 16:07:01,1254.0,115.0,441.0,8722.0,924.0,2021-09-27 23:08:38,3.1.0,,1034397.0,31.0,7210.0,7210.0,86.0,https://pypi.org/project/pandas-profiling,1031536.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966,191711.0,1.0,MIT,ydataai/pandas-profiling,,,,,,,,,,,,,,,
5,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,32,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-03-16 18:48:16.392000,2022-03-11 23:17:39,782.0,555.0,1188.0,2455.0,7392.0,2021-02-07 22:09:48,7.6.3,,8337454.0,34.0,3565.0,3565.0,193.0,https://pypi.org/project/ipywidgets,8154648.0,https://anaconda.org/conda-forge/ipywidgets,2022-03-16 18:48:16.392,4582014.0,1.0,BSD-3-Clause,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,118271.0,,,,,,,,,,,,
6,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,31,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-03-29 11:04:52.212000,2022-03-28 09:45:02,469.0,395.0,572.0,1291.0,,2022-03-11 17:04:00,6.4.3,,10586716.0,31.0,142062.0,142062.0,240.0,https://pypi.org/project/nbconvert,10502087.0,https://anaconda.org/conda-forge/nbconvert,2022-03-29 11:04:52.212,6008695.0,1.0,,,,,,,,,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,31,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000,2022-03-29 18:40:48.000000,2022-03-28 17:15:49,163.0,96.0,201.0,303.0,1860.0,,,,3260176.0,32.0,97331.0,97331.0,114.0,https://pypi.org/project/qtconsole,3226536.0,https://anaconda.org/conda-forge/qtconsole,2022-03-28 22:08:50.018,2354831.0,1.0,BSD-3-Clause,,,,,,,,,,,,,,,,
8,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-03-31 13:28:25.000000,2022-03-31 13:28:23,234.0,479.0,1180.0,1698.0,1925.0,2022-03-27 10:57:30,0.12.7,,438946.0,38.0,2989.0,2989.0,90.0,https://pypi.org/project/panel,429371.0,https://anaconda.org/conda-forge/panel,2022-03-30 09:25:20.761,392604.0,2.0,BSD-3-Clause,,,,,,,,,,,,,,,,
9,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,30,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000,2022-03-31 13:34:47.000000,2022-03-31 10:28:34,287.0,201.0,191.0,464.0,,2022-03-31 10:30:10,6.11.0,332.0,10894093.0,30.0,162058.0,162058.0,152.0,https://pypi.org/project/ipykernel,10890661.0,https://anaconda.org/anaconda/ipykernel,2022-03-12 09:13:36.250,258375.0,1.0,,,,,,,,,,,,,,,,,
10,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,30,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000,2022-03-31 08:13:52.000000,2022-03-31 08:13:51,123.0,48.0,68.0,169.0,785.0,2022-03-10 20:06:49,5.2.0,,10829803.0,14.0,148082.0,148082.0,62.0,https://pypi.org/project/nbformat,10723493.0,https://anaconda.org/conda-forge/nbformat,2022-03-10 22:26:42.482,7548018.0,1.0,,,,,,,,,,,,,,,,,
11,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000,2022-03-31 00:15:19.000000,2022-03-08 17:38:50,341.0,40.0,2043.0,2272.0,10257.0,2021-12-27 18:23:21,8.2.0,,3140.0,74.0,415.0,415.0,224.0,https://pypi.org/project/nikola,3140.0,,,,1.0,MIT,,,,,,,,,,,,,,,,
12,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000,2022-03-30 08:24:10.000000,2022-03-30 08:15:35,307.0,180.0,294.0,1237.0,1021.0,2021-12-06 12:32:04,0.15.0,,123298.0,61.0,1574.0,1574.0,74.0,https://pypi.org/project/ipyleaflet,66502.0,https://anaconda.org/conda-forge/ipyleaflet,2021-12-09 18:45:12.043,800235.0,1.0,MIT,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,45365.0,,,,,,,,,,,,
13,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,28,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000,2022-03-11 11:51:34.975000,2022-03-11 08:59:11,40.0,27.0,58.0,87.0,277.0,2022-03-11 09:00:20,0.5.13,35.0,9612454.0,19.0,48894.0,48894.0,30.0,https://pypi.org/project/nbclient,9481429.0,https://anaconda.org/conda-forge/nbclient,2022-03-11 11:51:34.975,3275502.0,1.0,,,,,,,,,,,,,,,,,
14,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000,2022-03-30 18:28:05.000000,2022-03-21 06:25:38,327.0,62.0,439.0,5286.0,,2022-02-09 21:32:56,1.13.7,,205670.0,100.0,2641.0,2641.0,69.0,https://pypi.org/project/jupytext,187767.0,https://anaconda.org/conda-forge/jupytext,2022-02-15 08:53:11.191,284005.0,1.0,MIT,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,10803.0,,,,,,,,,,,,
15,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,27,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000,2022-03-31 14:18:59.000000,2022-03-31 14:18:54,257.0,36.0,416.0,3329.0,591.0,2022-03-24 02:37:28,2.2.0,,79404.0,107.0,322.0,322.0,23.0,https://pypi.org/project/dtale,75039.0,https://anaconda.org/conda-forge/dtale,2022-03-24 03:01:11.816,109131.0,1.0,LGPL-2.1,,,,,,,,,,,,,,,,
16,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000,2022-03-29 15:12:04.000000,2022-03-29 07:29:40,432.0,204.0,355.0,3266.0,3509.0,2022-01-07 12:38:39,0.12.32,,114879.0,56.0,30.0,30.0,56.0,https://pypi.org/project/bqplot,76741.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,935408.0,1.0,Apache-2.0,,bqplot,https://www.npmjs.com/package/bqplot,24776.0,,,,,,,,,,,,
17,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,27,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000,2022-03-03 18:37:45.000000,2021-06-29 17:43:55,231.0,101.0,38.0,1499.0,253.0,,,,85740.0,3.0,2905.0,2905.0,44.0,https://pypi.org/project/ipython-sql,83685.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,137732.0,1.0,MIT,,,,,,,,,,,,,,,,
18,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000,2022-03-31 13:06:57.000000,2022-03-28 07:28:36,176.0,103.0,136.0,1243.0,,2022-02-18 05:57:25,0.8.8,,128812.0,24.0,2804.0,2804.0,26.0,https://pypi.org/project/ipympl,94708.0,,,,1.0,BSD-3-Clause,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,34104.0,,,,,,,,,,,,
19,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,26,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-03-28 06:35:24.727548,2022-03-21 15:34:08,3614.0,2005.0,2354.0,9833.0,,2022-01-25 19:28:28,6.4.8,6084.0,9976839.0,31.0,8.0,8.0,605.0,https://pypi.org/project/notebook,9623899.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1865348.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-03-28 06:35:24.727548,912.0,26788962.0,-11.0,,,,,,
20,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,26,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000,2022-03-31 10:35:46.000000,2022-03-30 06:26:08,1615.0,176.0,1900.0,6918.0,,,,,708059.0,30.0,1676.0,1676.0,273.0,https://pypi.org/project/jupyterhub,673512.0,https://anaconda.org/conda-forge/jupyterhub,2022-03-14 14:16:26.459,508982.0,1.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-03-29 22:03:02.880308,307.0,2536738.0,,,,,,,
21,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000,2022-03-25 04:11:27.000000,2022-02-18 05:38:57,347.0,102.0,234.0,4624.0,,,,,664394.0,17.0,2046.0,2046.0,98.0,https://pypi.org/project/papermill,658914.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,235650.0,2.0,BSD-3-Clause,,,,,,,,,,,,,,,,
22,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,26,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000,2022-03-30 12:38:14.000000,2022-03-30 12:38:14,382.0,239.0,350.0,4004.0,,2022-03-29 17:16:03,0.3.5,232.0,66663.0,58.0,6340.0,6340.0,57.0,https://pypi.org/project/voila,59445.0,https://anaconda.org/conda-forge/voila,2022-03-29 20:27:37.534,166249.0,2.0,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,3126.0,,,,,,,,,,,,
